standard,pipe_size_nps,test_pressure_psi_from,test_pressure_psi_to,plate_thickness_in,plate_thickness_mm,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,6,100,300,3/8,9.52,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,6,400,800,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,6,900,1500,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,6,1600,2500,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,6,3000,3000,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,8,100,500,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,8,600,900,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,8,1000,1500,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,8,1600,2500,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,8,3000,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,10,100,600,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,10,700,1000,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,10,1100,1500,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,10,1600,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,12,100,200,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,12,300,400,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,12,500,1000,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,12,1100,1300,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,12,1400,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,14,100,200,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,14,300,400,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,14,500,800,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,14,900,1100,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,14,1200,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,16,100,200,1/2,12.7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,16,300,300,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,16,400,500,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,16,600,800,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,16,900,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,18,100,200,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,18,300,400,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,18,500,600,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,18,700,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,20,100,200,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,20,300,300,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,20,400,500,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,20,600,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,24,100,200,3/4,19.05,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,24,300,300,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,24,400,400,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,24,500,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,30,100,200,1,25.4,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,30,300,300,1-1/4,31.75,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
Pocket Tradesman pancake (test blind) thickness chart for hydrostatic testing — stepped chart read from photo; boundaries approximate to the nearest chart row,30,400,3000,1-1/2,38.1,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2338, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo-stepped-chart
