standard,flange_class,nps,wrench_size_in,wrench_size_dec_in,stud_count,stud_dia_in,rf_stud_length_in,rf_stud_length_dec_in,rf_stud_length_mm,gasket_id_in,gasket_od_in,flange_diam_in,flange_diam_dec_in,rtj_stud_length_in,rtj_stud_length_dec_in,ring_no,book_note,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,12,1-7/16,1.4375,12,7/8,4-3/4,4.75,120.65,12,16-1/8,19,19.0,5-1/2,5.5,R56,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,14,1-5/8,1.625,12,1,5-1/4,5.25,133.35,13-1/4,17-3/4,21,21.0,6,6.0,R59,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,16,1-5/8,1.625,16,1,5-1/2,5.5,139.7,15-7/8,20-1/4,23-1/2,23.5,6,6.0,R64,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,18,1-13/16,1.8125,16,1-1/8,6,6.0,152.4,17-7/8,21-5/8,25,25.0,6-1/2,6.5,R68,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,20,1-13/16,1.8125,20,1-1/8,6-1/4,6.25,158.75,19-1/4,23-7/8,27-1/2,27.5,7,7.0,R72,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",150,24,2,2.0,20,1-1/4,7,7.0,177.8,23-1/4,28-1/4,32,32.0,7-3/4,7.75,R76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2332, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,1/2,7/8,0.875,4,1/2,2-1/2,2.5,63.5,3/4,2-1/8,3-3/4,3.75,3,3.0,R11,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,3/4,1-1/16,1.0625,4,5/8,2-3/4,2.75,69.85,1,2-5/8,4-5/8,4.625,3-1/4,3.25,R13,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,1,1-1/16,1.0625,4,5/8,3-1/4,3.25,82.55,1,2-7/8,4-7/8,4.875,3-1/4,3.25,R16,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,1-1/2,1-1/4,1.25,4,3/4,3-1/2,3.5,88.9,1-1/2,3-3/4,6-1/8,6.125,4,4.0,R20,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,2,1-1/16,1.0625,8,5/8,3-1/2,3.5,88.9,2,4-3/8,6-1/2,6.5,4-1/4,4.25,R23,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,3,1-1/4,1.25,8,3/4,4-1/4,4.25,107.95,3,5-7/8,8-1/4,8.25,5,5.0,R31,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,4,1-1/4,1.25,8,3/4,4-1/2,4.5,114.3,4,7-1/8,10,10.0,5-1/4,5.25,R37,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,6,1-1/4,1.25,12,3/4,4-3/4,4.75,120.65,6,9-7/8,12-1/2,12.5,5-3/4,5.75,R45,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,8,1-7/16,1.4375,12,7/8,5-1/2,5.5,139.7,8,12-1/8,15-1/2,15.5,6-1/4,6.25,R49,book prints 15-1/2; ASME B16.5 class 300 NPS 8 OD is 15.00 — treat book cell as a misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,10,1-5/8,1.625,16,1,6-1/4,6.25,158.75,10,14-1/4,17-1/2,17.5,7-1/4,7.25,R53,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,12,1-13/16,1.8125,16,1-1/8,6-3/4,6.75,171.45,12-7/8,16-5/8,20-1/2,20.5,7-1/2,7.5,R57,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,14,1-13/16,1.8125,20,1-1/8,7,7.0,177.8,14-1/8,19-1/8,23,23.0,7-3/4,7.75,R61,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,16,2,2.0,20,1-1/4,7-1/2,7.5,190.5,16,21-1/4,25-1/2,25.5,8-1/2,8.5,R65,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,18,2,2.0,24,1-1/4,7-3/4,7.75,196.85,18,23-1/2,28,28.0,8-1/4,8.25,R69,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,20,2,2.0,24,1-1/4,8-1/4,8.25,209.55,19,25-3/4,30-1/2,30.5,9-1/4,9.25,R73,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",300,24,2-3/8,2.375,24,1-1/2,9-1/4,9.25,234.95,23,30-1/2,36,36.0,10-1/4,10.25,R77,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,1/2,7/8,0.875,4,1/2,3,3.0,76.2,3/4,2-1/8,3-3/4,3.75,3,3.0,R11,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,3/4,1-1/16,1.0625,4,5/8,3-1/4,3.25,82.55,1,2-5/8,4-5/8,4.625,3-1/4,3.25,R13,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,1,1-1/16,1.0625,4,5/8,3-1/2,3.5,88.9,1-5/16,2-7/8,4-7/8,4.875,3-1/2,3.5,R16,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,1-1/2,1-1/4,1.25,4,3/4,4-1/4,4.25,107.95,1-29/32,3-3/4,6-1/8,6.125,4-1/4,4.25,R20,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,2,1-1/16,1.0625,8,5/8,4-1/4,4.25,107.95,2,4-3/8,6-1/2,6.5,4-1/2,4.5,R23,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,3,1-1/4,1.25,8,3/4,5,5.0,127.0,3,5-7/8,8-1/4,8.25,5-1/4,5.25,R31,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,4,1-7/16,1.4375,8,7/8,5-3/4,5.75,146.05,4,7-5/8,10-3/4,10.75,6,6.0,R37,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,6,1-5/8,1.625,12,1,6-3/4,6.75,171.45,6,10-1/2,14,14.0,7,7.0,R45,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,8,1-13/16,1.8125,12,1-1/8,7-3/4,7.75,196.85,7-7/8,12-5/8,16-1/2,16.5,8,8.0,R49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,10,2,2.0,16,1-1/4,8-1/2,8.5,215.9,9-3/4,15-3/4,20,20.0,8-3/4,8.75,R53,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,12,2,2.0,20,1-1/4,8-3/4,8.75,222.25,11-3/4,18,22,22.0,9,9.0,R57,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,14,2-3/16,2.1875,20,1-3/8,9-1/4,9.25,234.95,12-7/8,19-3/8,23-3/4,23.75,9-1/2,9.5,R61,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,16,2-3/8,2.375,20,1-1/2,10,10.0,254.0,14-3/4,22-1/4,27,27.0,10-1/4,10.25,R65,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,18,2-9/16,2.5625,20,1-5/8,10-3/4,10.75,273.05,16-1/2,24-1/8,29-1/4,29.25,11,11.0,R69,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,20,2-9/16,2.5625,24,1-5/8,11-1/2,11.5,292.1,18-1/4,26-7/8,32,32.0,11-3/4,11.75,R73,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",600,24,2-15/16,2.9375,24,1-7/8,13,13.0,330.2,22,31-1/8,37,37.0,13-1/2,13.5,R77,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2333, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,1/2,1-1/4,1.25,4,3/4,4,4.0,101.6,3/4,2-1/2,4-3/4,4.75,4-1/4,4.25,R12,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,3/4,1-1/4,1.25,4,3/4,4-1/4,4.25,107.95,1,2-3/4,5-1/8,5.125,4-1/2,4.5,R14,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,1,1-7/16,1.4375,4,7/8,4-3/4,4.75,120.65,1-1/4,3-1/8,5-7/8,5.875,5,5.0,R16,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,1-1/2,1-5/8,1.625,4,1,5-1/4,5.25,133.35,1-7/8,3-7/8,7,7.0,5-1/2,5.5,R20,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,2,1-7/16,1.4375,8,7/8,5-1/2,5.5,139.7,2-5/16,5-5/8,8-1/2,8.5,5-3/4,5.75,R24,book cell reads '5 5/16' in photo; transcribed as 2-5/16 (matches 1500 page),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,3,1-7/16,1.4375,8,7/8,5-1/2,5.5,139.7,3-3/4,6-5/8,9-1/2,9.5,5-3/4,5.75,R31,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,4,1-13/16,1.8125,8,1-1/8,6-1/2,6.5,165.1,3-3/4,8-1/8,11-1/2,11.5,6-3/4,6.75,R37,book prints 3-3/4 for NPS 4 (same as NPS 3); expected ~4-5/8 — likely misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,6,1-13/16,1.8125,12,1-1/8,7-1/2,7.5,190.5,6-7/8,11-3/8,15,15.0,7-3/4,7.75,R45,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,8,2-3/16,2.1875,12,1-3/8,8-1/2,8.5,215.9,8-7/8,14-1/8,18-1/2,18.5,8-3/4,8.75,R49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,10,2-3/16,2.1875,16,1-3/8,9,9.0,228.6,10-13/16,17-1/8,21-1/2,21.5,9-1/4,9.25,R53,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,12,2-3/16,2.1875,20,1-3/8,9-3/4,9.75,247.65,12-7/8,19-5/8,24,24.0,10,10.0,R57,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,14,2-3/8,2.375,20,1-1/2,10-1/2,10.5,266.7,14-1/4,20-1/2,25-1/4,25.25,11,11.0,R62,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,16,2-9/16,2.5625,20,1-5/8,11-1/2,11.5,292.1,16-1/4,22-5/8,27-3/4,27.75,11-1/2,11.5,R66,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,18,2-15/16,2.9375,20,1-7/8,12-3/4,12.75,323.85,18-1/4,25-1/8,31,31.0,13-1/4,13.25,R70,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,20,3-1/8,3.125,20,2,13-1/2,13.5,342.9,20-1/4,27-1/2,33-3/4,33.75,14-1/4,14.25,R74,book prints '2 1/2'; transcribed as 27-1/2 (obvious dropped digit),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",900,24,3-7/8,3.875,20,2-1/2,17,17.0,431.8,24-1/4,33,41,41.0,18,18.0,R78,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,1/2,1-1/4,1.25,4,3/4,4,4.0,101.6,3/4,2-1/2,5-1/8,5.125,4-1/4,4.25,R12,"book shows 5-1/8 for 1/2 and 4-3/4 for 3/4 — swapped vs B16.5 (1/2 = 4.75, 3/4 = 5.12)","Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,3/4,1-1/4,1.25,4,3/4,4-1/4,4.25,107.95,1,2-3/4,4-3/4,4.75,4-1/2,4.5,R14,see NPS 1/2 note — values appear swapped in the book,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,1,1-7/16,1.4375,4,7/8,4-3/4,4.75,120.65,1-1/4,3-1/8,5-7/8,5.875,5,5.0,R16,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,1-1/2,1-5/8,1.625,4,1,5-1/4,5.25,133.35,1-7/8,3-7/8,7,7.0,5-1/2,5.5,R20,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,2,1-7/16,1.4375,8,7/8,5-1/2,5.5,139.7,2-5/16,5-5/8,8-1/2,8.5,5-3/4,5.75,R24,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,3,1-13/16,1.8125,8,1-1/8,6-3/4,6.75,171.45,3-5/8,6-7/8,10-1/2,10.5,7,7.0,R35,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,4,2,2.0,8,1-1/4,7-1/2,7.5,190.5,4-5/8,8-1/4,12-1/4,12.25,7-3/4,7.75,R39,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,6,2-3/16,2.1875,12,1-3/8,10,10.0,254.0,6-3/4,11-1/8,15-1/2,15.5,10-1/4,10.25,R46,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,8,2-9/16,2.5625,12,1-5/8,11-1/4,11.25,285.75,8-1/2,13-7/8,19,19.0,11-3/4,11.75,R50,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman flange bolting table (B16.5 dims, spiral-wound gasket practice)",1500,10,2-15/16,2.9375,12,1-7/8,13-1/4,13.25,336.55,10-5/8,17-1/8,23,23.0,13-1/2,13.5,R54,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2334, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
