standard,valve_type,flange_class,nps,face_to_face_mm,face_to_face_in,book_note,edition,source_doc,verified,verified_by,verified_against,recall_confidence
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,1500,6,609,23.98,book's gate 1500# row is identical to its 900# row; B16.10 class 1500 gate = 470/546/705/832 for 3/4/6/8 (same as check/ball 1500 rows) — likely book misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",gate,1500,8,736,28.98,book's gate 1500# row is identical to its 900# row; B16.10 class 1500 gate = 470/546/705/832 for 3/4/6/8 (same as check/ball 1500 rows) — likely book misprint,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,150,2,178,7.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,150,3,203,7.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,150,4,229,9.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,150,6,394,15.51,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,150,8,457,17.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,300,2,216,8.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,300,3,283,11.14,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,300,4,305,12.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,300,6,403,15.87,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,300,8,502,19.76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,600,2,292,11.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,600,3,356,14.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,600,4,432,17.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,600,6,559,22.01,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,600,8,660,25.98,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,900,2,368,14.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,900,3,381,15.0,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,900,4,457,17.99,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,900,6,610,24.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,900,8,737,29.02,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,1500,2,368,14.49,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,1500,3,470,18.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,1500,4,546,21.5,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,1500,6,705,27.76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
"Pocket Tradesman valve face-to-face, raised face, mm (B16.10 basis)",ball,1500,8,832,32.76,,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2336, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
