standard,signal,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Everything Slowly,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Use Main Line,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Use Whip Line,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Travel Forward,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Turn Right,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Turn Left,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Shorten Hydraulic Boom,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Extend Hydraulic Boom,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Swing Load,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Stop,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Close Clam,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Open Clam,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),Dog Everything,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman hand signals for hoisting operations (Alberta practice; naming differs from ASME B30.5),No response should be made to unclear signal,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2348, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
