standard,abbrev,meaning,edition,source_doc,verified,verified_by,verified_against,recall_confidence
Pocket Tradesman piping abbreviations,NC,normally closed,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,NO,normally open,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,LC,level controller,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,LA,level alarm,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,LI,level indicator,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,PI,pressure indicator,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,TI,temperature indicator,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman piping abbreviations,TW,temperature well (thermometer),"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman flange/fitting/stud material classification,regular service (sweet),flanges A-105; fittings WPB; studs B7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
Pocket Tradesman flange/fitting/stud material classification,low temp (sour),flanges LF2; fittings WPL6; studs L7,"Pocket Tradesman, edition unknown","Pocket Tradesman field book (owner's copy) — photo IMG_2337, transcribed by Claude from photo; NOT yet owner-verified",false,,,source-photo
