standard,edition,nps,od_in,od_mm,fitting_type,dimension_label,center_to_end_in,center_to_end_mm,derived,source_doc,verified,verified_by,verified_against
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,SR90,A,1.25,31.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,TEE_EQUAL,C (=M for equal tee),1.88,47.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,CAP,E,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,REDUCER,H,2.0,50.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,LR180_RETURN_O,O (derived 2A),3.76,95.5,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/4,1.66,42.2,LR180_RETURN_K,K (derived A+OD/2),2.71,68.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,LR90,A,2.25,57.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,LR45,B,1.12,28.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,SR90,A,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,TEE_EQUAL,C (=M for equal tee),2.25,57.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,CAP,E,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,REDUCER,H,2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,LR180_RETURN_O,O (derived 2A),4.5,114.3,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,1-1/2,1.9,48.3,LR180_RETURN_K,K (derived A+OD/2),3.2,81.3,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,LR90,A,3.0,76.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,LR45,B,1.38,35.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,SR90,A,2.0,50.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,TEE_EQUAL,C (=M for equal tee),2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,CAP,E,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,REDUCER,H,3.0,76.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,LR180_RETURN_O,O (derived 2A),6.0,152.4,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2,2.375,60.3,LR180_RETURN_K,K (derived A+OD/2),4.19,106.4,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,LR90,A,3.75,95.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,LR45,B,1.75,44.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,SR90,A,2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,TEE_EQUAL,C (=M for equal tee),3.0,76.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,CAP,E,1.5,38.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,REDUCER,H,3.5,88.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,LR180_RETURN_O,O (derived 2A),7.5,190.5,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,2-1/2,2.875,73.0,LR180_RETURN_K,K (derived A+OD/2),5.19,131.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,LR90,A,4.5,114.3,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,LR45,B,2.0,50.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,SR90,A,3.0,76.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,TEE_EQUAL,C (=M for equal tee),3.38,85.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,CAP,E,2.0,50.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,REDUCER,H,3.5,88.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,LR180_RETURN_O,O (derived 2A),9.0,228.6,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3,3.5,88.9,LR180_RETURN_K,K (derived A+OD/2),6.25,158.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,LR90,A,5.25,133.3,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,LR45,B,2.25,57.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,SR90,A,3.5,88.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,TEE_EQUAL,C (=M for equal tee),3.75,95.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,CAP,E,2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,REDUCER,H,4.0,101.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,LR180_RETURN_O,O (derived 2A),10.5,266.7,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,3-1/2,4.0,101.6,LR180_RETURN_K,K (derived A+OD/2),7.25,184.1,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,LR90,A,6.0,152.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,LR45,B,2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,SR90,A,4.0,101.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,TEE_EQUAL,C (=M for equal tee),4.12,104.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,CAP,E,2.5,63.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,REDUCER,H,4.0,101.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,LR180_RETURN_O,O (derived 2A),12.0,304.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,4,4.5,114.3,LR180_RETURN_K,K (derived A+OD/2),8.25,209.5,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,LR90,A,7.5,190.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,LR45,B,3.12,79.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,SR90,A,5.0,127.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,TEE_EQUAL,C (=M for equal tee),4.88,124.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,CAP,E,3.0,76.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,REDUCER,H,5.0,127.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,LR180_RETURN_O,O (derived 2A),15.0,381.0,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,5,5.563,141.3,LR180_RETURN_K,K (derived A+OD/2),10.28,261.1,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,LR90,A,9.0,228.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,LR45,B,3.75,95.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,SR90,A,6.0,152.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,TEE_EQUAL,C (=M for equal tee),5.62,142.7,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,CAP,E,3.5,88.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,REDUCER,H,5.5,139.7,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,LR180_RETURN_O,O (derived 2A),18.0,457.2,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,6,6.625,168.3,LR180_RETURN_K,K (derived A+OD/2),12.31,312.7,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,LR90,A,12.0,304.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,LR45,B,5.0,127.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,SR90,A,8.0,203.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,TEE_EQUAL,C (=M for equal tee),7.0,177.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,CAP,E,4.0,101.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,REDUCER,H,6.0,152.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,LR180_RETURN_O,O (derived 2A),24.0,609.6,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,8,8.625,219.1,LR180_RETURN_K,K (derived A+OD/2),16.31,414.3,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,LR90,A,15.0,381.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,LR45,B,6.25,158.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,SR90,A,10.0,254.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,TEE_EQUAL,C (=M for equal tee),8.5,215.9,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,CAP,E,5.0,127.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,REDUCER,H,7.0,177.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,LR180_RETURN_O,O (derived 2A),30.0,762.0,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,10,10.75,273.1,LR180_RETURN_K,K (derived A+OD/2),20.38,517.7,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,LR90,A,18.0,457.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,LR45,B,7.5,190.5,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,SR90,A,12.0,304.8,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,TEE_EQUAL,C (=M for equal tee),10.0,254.0,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,CAP,E,6.0,152.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,REDUCER,H,8.0,203.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,LR180_RETURN_O,O (derived 2A),36.0,914.4,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,12,12.75,323.8,LR180_RETURN_K,K (derived A+OD/2),24.38,619.3,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,LR90,A,21.0,533.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,LR45,B,8.75,222.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,SR90,A,14.0,355.6,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,TEE_EQUAL,C (=M for equal tee),11.0,279.4,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,CAP,E,6.5,165.1,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,REDUCER,H,13.0,330.2,false,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,LR180_RETURN_O,O (derived 2A),42.0,1066.8,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.9,UNSPECIFIED-verify,14,14.0,355.6,LR180_RETURN_K,K (derived A+OD/2),28.0,711.2,true,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
