standard,head_ft,head_m,pressure_psi,pressure_kpa,recall_confidence,note,edition,source_doc,verified,verified_by,verified_against
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),14,4.27,6.07,41.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),15,4.57,6.5,44.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),16,4.88,6.94,47.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),17,5.18,7.37,50.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),18,5.49,7.8,53.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),19,5.79,8.24,56.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),20,6.1,8.67,59.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),25,7.62,10.84,74.7,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),30,9.14,13.0,89.7,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),35,10.67,15.17,104.6,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),40,12.19,17.34,119.6,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),45,13.72,19.51,134.5,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),50,15.24,21.68,149.5,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),55,16.76,23.84,164.4,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),60,18.29,26.01,179.4,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),65,19.81,28.18,194.3,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),70,21.34,30.34,209.2,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),75,22.86,32.51,224.2,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),80,24.38,34.68,239.1,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),85,25.91,36.85,254.1,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),90,27.43,39.02,269.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),95,28.96,41.18,284.0,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),100,30.48,43.35,298.9,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),150,45.72,65.03,448.4,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),200,60.96,86.7,597.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),250,76.2,108.38,747.3,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),300,91.44,130.05,896.8,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),400,121.92,173.4,1195.7,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
Computed: 0.4335 psi per ft of fresh water at 4 C (9.807 kPa per m),500,152.4,216.75,1494.6,computed,multiply by 1.025 for seawater; head in ft = psi x 2.31,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
