standard,category,from_unit,to_unit,multiply_by,recall_confidence,edition,source_doc,verified,verified_by,verified_against
NIST SP 811 / exact SI definitions,length,in,mm,25.4,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,short ton,kg,907.18474,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,short ton,lb,2000,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,long ton,lb,2240,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,tonne,kg,1000,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,mass,tonne,lb,2204.62,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,force,lbf,N,4.448222,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,force,kip,kN,4.448222,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,psi,kPa,6.894757,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,psi,bar,0.0689476,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,bar,kPa,100,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,atm,psi,14.6959,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,atm,kPa,101.325,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,inHg,kPa,3.386389,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,inH2O (4C),kPa,0.249089,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,ft H2O (4C),psi,0.433527,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,psi,ft H2O,2.30666,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,mmHg (torr),kPa,0.133322,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,pressure,MPa,psi,145.0377,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,energy,BTU,kJ,1.055056,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,energy,kWh,BTU,3412.14,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,energy,hp-h,BTU,2544.43,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,power,hp,kW,0.7457,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,power,BTU/h,W,0.293071,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,power,ton refrig,BTU/h,12000,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,power,boiler hp,BTU/h,33475,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,flow,US gpm,L/s,0.0630902,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,flow,US gpm,m3/h,0.227125,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,flow,ft3/min,m3/h,1.699011,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,flow,lb/h steam,kg/h,0.45359237,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,velocity,ft/s,m/s,0.3048,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,velocity,mph,km/h,1.609344,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,torque,ft-lbf,N-m,1.355818,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,torque,in-lbf,N-m,0.112985,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,density,lb/ft3,kg/m3,16.01846,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,density,lb/US gal,kg/L,0.119826,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,temperature,F,C,(F-32)x5/9,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,temperature,C,F,Cx9/5+32,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,temperature,C,K,C+273.15,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
NIST SP 811 / exact SI definitions,temperature,F,R,F+459.67,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
