standard,edition,flange_class,nps,od_in,od_mm,thickness_in,thickness_mm,bolt_circle_in,bolt_circle_mm,bolt_count,bolt_size_in,bolt_hole_in,bolt_hole_mm,rf_dia_in,rf_dia_mm,rf_height_in,lth_wn_in,lth_wn_mm,lth_so_in,lth_so_mm,source_doc,verified,verified_by,verified_against
ASME B16.5,UNSPECIFIED-verify,150,1/2,3.5,88.9,0.44,11.2,2.38,60.5,4,1/2,0.62,15.7,1.38,35.1,0.06,1.88,47.8,0.62,15.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,1,4.88,124.0,0.69,17.5,3.5,88.9,4,5/8,0.75,19.0,2.0,50.8,0.25,2.44,62.0,1.06,26.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,1-1/4,5.25,133.3,0.81,20.6,3.88,98.6,4,5/8,0.75,19.0,2.5,63.5,0.25,2.62,66.5,1.12,28.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,1-1/2,6.12,155.4,0.88,22.4,4.5,114.3,4,3/4,0.88,22.4,2.88,73.2,0.25,2.75,69.8,1.25,31.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,2,6.5,165.1,1.0,25.4,5.0,127.0,8,5/8,0.75,19.0,3.62,91.9,0.25,2.88,73.2,1.44,36.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,2-1/2,7.5,190.5,1.12,28.4,5.88,149.4,8,3/4,0.88,22.4,4.12,104.6,0.25,3.12,79.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,3,8.25,209.5,1.25,31.8,6.62,168.1,8,3/4,0.88,22.4,5.0,127.0,0.25,3.25,82.5,1.81,46.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,3-1/2,9.0,228.6,1.38,35.1,7.25,184.1,8,7/8,1.0,25.4,5.5,139.7,0.25,3.38,85.9,1.94,49.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,4,10.0,254.0,1.38,35.1,7.88,200.2,8,7/8,1.0,25.4,6.19,157.2,0.25,3.5,88.9,2.0,50.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,5,11.0,279.4,1.5,38.1,9.25,234.9,8,7/8,1.0,25.4,7.31,185.7,0.25,4.0,101.6,2.12,53.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,6,12.5,317.5,1.62,41.1,10.62,269.7,12,7/8,1.0,25.4,8.5,215.9,0.25,4.06,103.1,2.25,57.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,8,15.0,381.0,1.88,47.8,13.0,330.2,12,1,1.12,28.4,10.62,269.7,0.25,4.62,117.3,2.69,68.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,10,17.5,444.5,2.12,53.8,15.25,387.3,16,1-1/8,1.25,31.8,12.75,323.8,0.25,4.88,124.0,2.88,73.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,12,20.5,520.7,2.25,57.1,17.75,450.8,16,1-1/4,1.38,35.1,15.0,381.0,0.25,5.38,136.7,3.12,79.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,14,23.0,584.2,2.38,60.5,20.25,514.4,20,1-1/4,1.38,35.1,16.25,412.8,0.25,5.88,149.4,3.31,84.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,16,25.5,647.7,2.5,63.5,22.5,571.5,20,1-3/8,1.5,38.1,18.5,469.9,0.25,6.0,152.4,3.69,93.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,18,28.0,711.2,2.62,66.5,24.75,628.6,24,1-3/8,1.5,38.1,21.0,533.4,0.25,6.5,165.1,3.88,98.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,20,30.5,774.7,2.75,69.8,27.0,685.8,24,1-1/2,1.62,41.1,23.0,584.2,0.25,6.62,168.1,4.0,101.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,400,24,36.0,914.4,3.0,76.2,32.0,812.8,24,1-3/4,1.88,47.8,27.25,692.1,0.25,6.88,174.8,4.5,114.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,1/2,3.75,95.2,0.56,14.2,2.62,66.5,4,1/2,0.62,15.7,1.38,35.1,0.25,2.06,52.3,0.88,22.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,3/4,4.62,117.3,0.62,15.7,3.25,82.5,4,5/8,0.75,19.0,1.69,42.9,0.25,2.25,57.1,1.0,25.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,1,4.88,124.0,0.69,17.5,3.5,88.9,4,5/8,0.75,19.0,2.0,50.8,0.25,2.44,62.0,1.06,26.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,1-1/4,5.25,133.3,0.81,20.6,3.88,98.6,4,5/8,0.75,19.0,2.5,63.5,0.25,2.62,66.5,1.12,28.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,1-1/2,6.12,155.4,0.88,22.4,4.5,114.3,4,3/4,0.88,22.4,2.88,73.2,0.25,2.75,69.8,1.25,31.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,2,6.5,165.1,1.0,25.4,5.0,127.0,8,5/8,0.75,19.0,3.62,91.9,0.25,2.88,73.2,1.44,36.6,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,2-1/2,7.5,190.5,1.12,28.4,5.88,149.4,8,3/4,0.88,22.4,4.12,104.6,0.25,3.12,79.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,3,8.25,209.5,1.25,31.8,6.62,168.1,8,3/4,0.88,22.4,5.0,127.0,0.25,3.25,82.5,1.81,46.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,3-1/2,9.0,228.6,1.38,35.1,7.25,184.1,8,7/8,1.0,25.4,5.5,139.7,0.25,3.38,85.9,1.94,49.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,4,10.75,273.1,1.5,38.1,8.5,215.9,8,7/8,1.0,25.4,6.19,157.2,0.25,4.0,101.6,2.12,53.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,5,13.0,330.2,1.75,44.4,10.5,266.7,8,1,1.12,28.4,7.31,185.7,0.25,4.5,114.3,2.38,60.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,6,14.0,355.6,1.88,47.8,11.5,292.1,12,1,1.12,28.4,8.5,215.9,0.25,4.62,117.3,2.62,66.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,8,16.5,419.1,2.19,55.6,13.75,349.2,12,1-1/8,1.25,31.8,10.62,269.7,0.25,5.25,133.3,3.0,76.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,10,20.0,508.0,2.5,63.5,17.0,431.8,16,1-1/4,1.38,35.1,12.75,323.8,0.25,6.0,152.4,3.38,85.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,12,22.0,558.8,2.62,66.5,19.25,488.9,20,1-1/4,1.38,35.1,15.0,381.0,0.25,6.12,155.4,3.62,91.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,14,23.75,603.2,2.75,69.8,20.75,527.0,20,1-3/8,1.5,38.1,16.25,412.8,0.25,6.5,165.1,3.69,93.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,16,27.0,685.8,3.0,76.2,23.75,603.2,20,1-1/2,1.62,41.1,18.5,469.9,0.25,7.0,177.8,4.19,106.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,18,29.25,742.9,3.25,82.5,25.75,654.0,20,1-5/8,1.75,44.4,21.0,533.4,0.25,7.25,184.1,4.62,117.3,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,20,32.0,812.8,3.5,88.9,28.5,723.9,24,1-5/8,1.75,44.4,23.0,584.2,0.25,7.5,190.5,5.0,127.0,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,600,24,37.0,939.8,4.0,101.6,33.0,838.2,24,1-7/8,2.0,50.8,27.25,692.1,0.25,8.0,203.2,5.5,139.7,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,1/2,4.75,120.6,0.88,22.4,3.25,82.5,4,3/4,0.88,22.4,1.38,35.1,0.25,2.38,60.5,1.25,31.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,3/4,5.12,130.0,1.0,25.4,3.5,88.9,4,3/4,0.88,22.4,1.69,42.9,0.25,2.75,69.8,1.38,35.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,1,5.88,149.4,1.12,28.4,4.0,101.6,4,7/8,1.0,25.4,2.0,50.8,0.25,2.88,73.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,1-1/4,6.25,158.8,1.12,28.4,4.38,111.3,4,7/8,1.0,25.4,2.5,63.5,0.25,2.88,73.2,1.62,41.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,1-1/2,7.0,177.8,1.25,31.8,4.88,124.0,4,1,1.12,28.4,2.88,73.2,0.25,3.25,82.5,1.75,44.4,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,2,8.5,215.9,1.5,38.1,6.5,165.1,8,7/8,1.0,25.4,3.62,91.9,0.25,4.0,101.6,2.25,57.1,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,2-1/2,9.62,244.3,1.62,41.1,7.5,190.5,8,1,1.12,28.4,4.12,104.6,0.25,4.12,104.6,2.5,63.5,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,3,9.5,241.3,1.5,38.1,7.5,190.5,8,7/8,1.0,25.4,5.0,127.0,0.25,4.0,101.6,2.12,53.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,4,11.5,292.1,1.75,44.4,9.25,234.9,8,1-1/8,1.25,31.8,6.19,157.2,0.25,4.5,114.3,2.75,69.8,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,5,13.75,349.2,2.0,50.8,11.0,279.4,8,1-1/4,1.38,35.1,7.31,185.7,0.25,5.0,127.0,3.12,79.2,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
ASME B16.5,UNSPECIFIED-verify,900,6,15.0,381.0,2.19,55.6,12.5,317.5,12,1-1/8,1.25,31.8,8.5,215.9,0.25,5.5,139.7,3.38,85.9,claude-memory-2026-08-24 (recall of ASME B16.5 flange tables / ASME B16.9 fitting tables); NOT an independent source,false,,
