standard,run_nps,outlet_nps,run_center_to_end_C_in,run_center_to_end_C_mm,outlet_center_to_end_M_in,outlet_center_to_end_M_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.9,2,1-1/2,2.5,63.5,2.38,60.45,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,4,2-1/2,4.12,104.65,3.75,95.25,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,4,2,4.12,104.65,3.62,91.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,4,1-1/2,4.12,104.65,3.5,88.9,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,5,4,4.88,123.95,4.62,117.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,5,3-1/2,4.88,123.95,4.5,114.3,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,5,3,4.88,123.95,4.38,111.25,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,5,2-1/2,4.88,123.95,4.25,107.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,5,2,4.88,123.95,4.12,104.65,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,6,5,5.62,142.75,5.38,136.65,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,6,4,5.62,142.75,5.12,130.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,6,3-1/2,5.62,142.75,5.0,127.0,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,6,3,5.62,142.75,4.88,123.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,6,2-1/2,5.62,142.75,4.75,120.65,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,8,6,7.0,177.8,6.62,168.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,8,5,7.0,177.8,6.38,162.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,8,4,7.0,177.8,6.12,155.45,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,8,3-1/2,7.0,177.8,6.0,152.4,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,8,3,7.0,177.8,5.88,149.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,10,8,8.5,215.9,8.0,203.2,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,10,6,8.5,215.9,7.62,193.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,10,5,8.5,215.9,7.5,190.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,10,4,8.5,215.9,7.25,184.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,10,3-1/2,8.5,215.9,7.12,180.85,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,12,10,10.0,254.0,9.5,241.3,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,12,8,10.0,254.0,9.0,228.6,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,12,6,10.0,254.0,8.62,218.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,12,5,10.0,254.0,8.5,215.9,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,12,4,10.0,254.0,8.25,209.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,14,12,11.0,279.4,10.62,269.75,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,14,10,11.0,279.4,10.12,257.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,14,8,11.0,279.4,9.5,241.3,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,14,6,11.0,279.4,9.12,231.65,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,16,14,12.0,304.8,12.0,304.8,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,16,12,12.0,304.8,11.62,295.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,16,10,12.0,304.8,11.12,282.45,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,16,8,12.0,304.8,10.5,266.7,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,16,6,12.0,304.8,10.12,257.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,18,16,13.5,342.9,13.0,330.2,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,18,14,13.5,342.9,13.0,330.2,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,18,12,13.5,342.9,12.62,320.55,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,18,10,13.5,342.9,12.12,307.85,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,18,8,13.5,342.9,11.5,292.1,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,18,15.0,381.0,14.5,368.3,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,16,15.0,381.0,14.0,355.6,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,14,15.0,381.0,14.0,355.6,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,12,15.0,381.0,13.62,345.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,10,15.0,381.0,13.12,333.25,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,20,8,15.0,381.0,12.5,317.5,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,22,17.0,431.8,17.0,431.8,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,20,17.0,431.8,17.0,431.8,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,18,17.0,431.8,16.5,419.1,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,16,17.0,431.8,16.0,406.4,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,14,17.0,431.8,16.0,406.4,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,12,17.0,431.8,15.62,396.75,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.9,24,10,17.0,431.8,15.12,384.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
