standard,flange_class,nps,hub_dia_base_X_in,hub_dia_base_X_mm,hub_dia_bevel_A_in_WN,hub_dia_bevel_A_mm_WN,slip_on_bore_B_in,slip_on_bore_B_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.5,150,1/2,1.19,30.23,0.84,21.34,0.9,22.86,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,10,12.0,304.8,10.75,273.05,10.88,276.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,12,14.38,365.25,12.75,323.85,12.88,327.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,14,15.75,400.05,14.0,355.6,14.14,359.16,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,16,18.0,457.2,16.0,406.4,16.16,410.46,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,18,19.88,504.95,18.0,457.2,18.18,461.77,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,20,22.0,558.8,20.0,508.0,20.2,513.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,150,24,26.12,663.45,24.0,609.6,24.25,615.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,1/2,1.5,38.1,0.84,21.34,0.9,22.86,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,3/4,1.88,47.75,1.05,26.67,1.11,28.19,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,1,2.12,53.85,1.315,33.4,1.38,35.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,1-1/4,2.5,63.5,1.66,42.16,1.72,43.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,1-1/2,2.75,69.85,1.9,48.26,1.97,50.04,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,2,3.31,84.07,2.375,60.32,2.44,61.98,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,2-1/2,3.94,100.08,2.875,73.02,2.94,74.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,3,4.62,117.35,3.5,88.9,3.57,90.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,3-1/2,5.25,133.35,4.0,101.6,4.07,103.38,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,4,5.75,146.05,4.5,114.3,4.57,116.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,5,7.0,177.8,5.563,141.3,5.66,143.76,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,6,8.12,206.25,6.625,168.27,6.72,170.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,8,10.25,260.35,8.625,219.07,8.72,221.49,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,10,12.62,320.55,10.75,273.05,10.88,276.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,12,14.75,374.65,12.75,323.85,12.88,327.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,14,16.75,425.45,14.0,355.6,14.14,359.16,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,16,19.0,482.6,16.0,406.4,16.16,410.46,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,18,21.0,533.4,18.0,457.2,18.18,461.77,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,20,23.12,587.25,20.0,508.0,20.2,513.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,300,24,27.62,701.55,24.0,609.6,24.25,615.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,1/2,1.5,38.1,0.84,21.34,0.9,22.86,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,3/4,1.88,47.75,1.05,26.67,1.11,28.19,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,1,2.12,53.85,1.315,33.4,1.38,35.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,1-1/4,2.5,63.5,1.66,42.16,1.72,43.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,1-1/2,2.75,69.85,1.9,48.26,1.97,50.04,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,2,3.31,84.07,2.375,60.32,2.44,61.98,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,2-1/2,3.94,100.08,2.875,73.02,2.94,74.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,3,4.62,117.35,3.5,88.9,3.57,90.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,3-1/2,5.25,133.35,4.0,101.6,4.07,103.38,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,4,5.75,146.05,4.5,114.3,4.57,116.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,5,7.0,177.8,5.563,141.3,5.66,143.76,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,6,8.12,206.25,6.625,168.27,6.72,170.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,8,10.25,260.35,8.625,219.07,8.72,221.49,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,10,12.62,320.55,10.75,273.05,10.88,276.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,12,14.75,374.65,12.75,323.85,12.88,327.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,14,16.75,425.45,14.0,355.6,14.14,359.16,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,16,19.0,482.6,16.0,406.4,16.16,410.46,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,18,21.0,533.4,18.0,457.2,18.18,461.77,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,20,23.12,587.25,20.0,508.0,20.2,513.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,400,24,27.62,701.55,24.0,609.6,24.25,615.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,1/2,1.5,38.1,0.84,21.34,0.9,22.86,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,3/4,1.88,47.75,1.05,26.67,1.11,28.19,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,1,2.12,53.85,1.315,33.4,1.38,35.05,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,1-1/4,2.5,63.5,1.66,42.16,1.72,43.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,1-1/2,2.75,69.85,1.9,48.26,1.97,50.04,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,2,3.31,84.07,2.375,60.32,2.44,61.98,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,2-1/2,3.94,100.08,2.875,73.02,2.94,74.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,3,4.62,117.35,3.5,88.9,3.57,90.68,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,3-1/2,5.25,133.35,4.0,101.6,4.07,103.38,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,4,6.0,152.4,4.5,114.3,4.57,116.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,5,7.44,188.98,5.563,141.3,5.66,143.76,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,6,8.75,222.25,6.625,168.27,6.72,170.69,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,8,10.75,273.05,8.625,219.07,8.72,221.49,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,10,13.5,342.9,10.75,273.05,10.88,276.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,12,15.75,400.05,12.75,323.85,12.88,327.15,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,14,17.0,431.8,14.0,355.6,14.14,359.16,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,16,19.5,495.3,16.0,406.4,16.16,410.46,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,18,21.5,546.1,18.0,457.2,18.18,461.77,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,20,24.0,609.6,20.0,508.0,20.2,513.08,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,600,24,28.25,717.55,24.0,609.6,24.25,615.95,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,1/2,1.5,38.1,0.84,21.34,0.9,22.86,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,3/4,1.75,44.45,1.05,26.67,1.11,28.19,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,1,2.06,52.32,1.315,33.4,1.38,35.05,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,1-1/4,2.5,63.5,1.66,42.16,1.72,43.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,1-1/2,2.75,69.85,1.9,48.26,1.97,50.04,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,2,4.12,104.65,2.375,60.32,2.44,61.98,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,2-1/2,4.88,123.95,2.875,73.02,2.94,74.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,3,5.0,127.0,3.5,88.9,3.57,90.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,4,6.25,158.75,4.5,114.3,4.57,116.08,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,5,7.5,190.5,5.563,141.3,5.66,143.76,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,6,9.25,234.95,6.625,168.27,6.72,170.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,8,11.75,298.45,8.625,219.07,8.72,221.49,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,10,14.5,368.3,10.75,273.05,10.88,276.35,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,12,16.5,419.1,12.75,323.85,12.88,327.15,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,14,17.75,450.85,14.0,355.6,14.14,359.16,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,16,20.0,508.0,16.0,406.4,16.16,410.46,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,18,22.25,565.15,18.0,457.2,18.18,461.77,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,20,24.5,622.3,20.0,508.0,20.2,513.08,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,900,24,29.5,749.3,24.0,609.6,24.25,615.95,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,1/2,1.5,38.1,0.84,21.34,0.9,22.86,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,3/4,1.75,44.45,1.05,26.67,1.11,28.19,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,1,2.06,52.32,1.315,33.4,1.38,35.05,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,1-1/4,2.5,63.5,1.66,42.16,1.72,43.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,1-1/2,2.75,69.85,1.9,48.26,1.97,50.04,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,2,4.12,104.65,2.375,60.32,2.44,61.98,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,2-1/2,4.88,123.95,2.875,73.02,2.94,74.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,3,5.25,133.35,3.5,88.9,3.57,90.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,4,6.38,162.05,4.5,114.3,4.57,116.08,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,5,8.0,203.2,5.563,141.3,5.66,143.76,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,6,9.0,228.6,6.625,168.27,6.72,170.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,8,11.5,292.1,8.625,219.07,8.72,221.49,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,10,14.5,368.3,10.75,273.05,10.88,276.35,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,12,17.75,450.85,12.75,323.85,12.88,327.15,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,14,19.5,495.3,14.0,355.6,14.14,359.16,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,16,21.75,552.45,16.0,406.4,16.16,410.46,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,18,23.5,596.9,18.0,457.2,18.18,461.77,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,20,25.25,641.35,20.0,508.0,20.2,513.08,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,1500,24,30.0,762.0,24.0,609.6,24.25,615.95,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,1/2,1.69,42.93,0.84,21.34,0.9,22.86,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,3/4,2.0,50.8,1.05,26.67,1.11,28.19,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,1,2.38,60.45,1.315,33.4,1.38,35.05,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,1-1/4,2.75,69.85,1.66,42.16,1.72,43.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,1-1/2,3.12,79.25,1.9,48.26,1.97,50.04,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,2,4.12,104.65,2.375,60.32,2.44,61.98,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,2-1/2,4.88,123.95,2.875,73.02,2.94,74.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,3,5.62,142.75,3.5,88.9,3.57,90.68,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,4,6.75,171.45,4.5,114.3,4.57,116.08,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,5,8.25,209.55,5.563,141.3,5.66,143.76,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,6,9.5,241.3,6.625,168.27,6.72,170.69,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,8,11.5,292.1,8.625,219.07,8.72,221.49,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,10,13.5,342.9,10.75,273.05,10.88,276.35,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.5,2500,12,15.75,400.05,12.75,323.85,12.88,327.15,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
