standard,fitting_class,nps,pipe_od_in,socket_bore_min_in,socket_bore_max_in,socket_bore_min_mm,socket_bore_max_mm,socket_depth_J_min_in,socket_depth_J_min_mm,socket_wall_C_min_in,socket_wall_C_min_mm,fitting_bore_D_in,fitting_bore_D_mm,ctr_to_socket_bottom_A_90_tee_in,ctr_to_socket_bottom_A_90_tee_mm,ctr_to_socket_bottom_45_in,ctr_to_socket_bottom_45_mm,recall_confidence,edition,source_doc,verified,verified_by,verified_against
ASME B16.11,3000,1/8,0.405,0.42,0.43,10.67,10.92,0.38,9.65,0.095,2.41,0.269,6.83,0.44,11.18,0.31,7.87,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,1-1/4,1.66,1.675,1.69,42.55,42.93,0.5,12.7,0.191,4.85,1.278,32.46,1.06,26.92,0.75,19.05,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1-1/4,1.66,1.675,1.69,42.55,42.93,0.5,12.7,0.25,6.35,1.16,29.46,1.25,31.75,0.88,22.35,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,1-1/2,1.9,1.915,1.93,48.64,49.02,0.5,12.7,0.2,5.08,1.5,38.1,1.19,30.23,0.81,20.57,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,1-1/2,1.9,1.915,1.93,48.64,49.02,0.5,12.7,0.281,7.14,1.338,33.99,1.44,36.58,1.0,25.4,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,2,2.375,2.406,2.421,61.11,61.49,0.62,15.75,0.218,5.54,1.939,49.25,1.5,38.1,1.06,26.92,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,2,2.375,2.406,2.421,61.11,61.49,0.62,15.75,0.344,8.74,1.687,42.85,1.75,44.45,1.25,31.75,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,2-1/2,2.875,2.906,2.921,73.81,74.19,0.62,15.75,0.276,7.01,2.323,59.0,1.75,44.45,1.31,33.27,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,2-1/2,2.875,2.906,2.921,73.81,74.19,0.62,15.75,0.375,9.52,2.125,53.97,2.12,53.85,1.5,38.1,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,3,3.5,3.535,3.55,89.79,90.17,0.62,15.75,0.3,7.62,2.9,73.66,2.06,52.32,1.5,38.1,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,3,3.5,3.535,3.55,89.79,90.17,0.62,15.75,0.438,11.13,2.624,66.65,2.5,63.5,1.81,45.97,medium,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,3000,4,4.5,4.545,4.56,115.44,115.82,0.75,19.05,0.318,8.08,3.826,97.18,2.62,66.55,1.94,49.28,high,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
ASME B16.11,6000,4,4.5,4.545,4.56,115.44,115.82,0.75,19.05,0.531,13.49,3.438,87.33,3.19,81.03,2.25,57.15,low,UNSPECIFIED-verify,claude-memory-2026-08-24 (recall); NOT an independent source,false,,
